Original Ticker,Cleaned Ticker,Type,Primary Exchange,Error Message,Timestamp
KRUZ,更新 KRUZ 数据失败: cursor already closed
MYTE,更新 MYTE 数据失败: cursor already closed
NAYA,更新 NAYA 数据失败: cursor already closed
NEP,更新 NEP 数据失败: cursor already closed
NVW,更新 NVW 数据失败: cursor already closed
OCX,更新 OCX 数据失败: cursor already closed
OPT,更新 OPT 数据失败: cursor already closed
SAG,更新 SAG 数据失败: cursor already closed
SJW,更新 SJW 数据失败: cursor already closed
SMI,更新 SMI 数据失败: cursor already closed
SPGC,更新 SPGC 数据失败: cursor already closed
SQ,更新 SQ 数据失败: cursor already closed
TSW,更新 TSW 数据失败: cursor already closed
VINE,更新 VINE 数据失败: cursor already closed
X,更新 X 数据失败: cursor already closed
YY,更新 YY 数据失败: cursor already closed
ZI,更新 ZI 数据失败: cursor already closed
HCHL,更新 HCHL 数据失败: OpenApiException: (code=301607, trace_id=) request too many klines
