id,ticker,timestamp,open,high,low,close,volume,turnover
5120563,AAPL,2023-04-19 00:00:00,164.09,166.45,163.83,165.92,47720166,7982713999.0
5120564,AAPL,2023-04-20 00:00:00,164.38,166.16,163.85,164.94,52456377,8748621843.0
5120565,AAPL,2023-04-21 00:00:00,163.34,164.742,162.78,163.31,58337341,9630049110.0
5120566,AAPL,2023-04-24 00:00:00,163.29,163.89,162.18,163.62,41949581,6919068814.0
5120567,AAPL,2023-04-25 00:00:00,163.48,164.595,162.02,162.06,48714063,8020656156.0
5120568,AAPL,2023-04-26 00:00:00,161.345,163.57,161.09,162.05,45498796,7457630024.0
5120569,AAPL,2023-04-27 00:00:00,163.48,166.85,163.48,166.7,64902329,10859434731.0
5120570,AAPL,2023-04-28 00:00:00,166.78,168.14,166.17,167.97,57477273,9338739200.0
5120571,AAPL,2023-05-01 00:00:00,167.57,168.74,166.93,167.88,52472936,8902454047.0
5120572,AAPL,2023-05-02 00:00:00,168.38,168.64,165.83,166.83,48425696,8169307726.0
5120573,AAPL,2023-05-03 00:00:00,167.79,169.21,165.45,165.74,65136018,11008841488.0
5120574,AAPL,2023-05-04 00:00:00,163.18,165.33,162.6,164.08,81235427,13493056831.0
5120575,AAPL,2023-05-05 00:00:00,169.265,172.59,169.05,171.86,113453171,19662773264.0
5120576,AAPL,2023-05-08 00:00:00,170.77,172.14,170.4,171.79,55962793,9699525151.0
5120577,AAPL,2023-05-09 00:00:00,171.34,171.83,169.89,170.06,45326874,7810552533.0
5120578,AAPL,2023-05-10 00:00:00,171.31,172.32,170.19,171.845,53724501,9303672778.0
5120579,AAPL,2023-05-11 00:00:00,172.14,172.88,170.46,172.04,49514676,8590308309.0
5120580,AAPL,2023-05-12 00:00:00,172.15,172.59,169.53,171.1,45533138,7848527844.0
5120581,AAPL,2023-05-15 00:00:00,171.69,171.74,170.0,170.6,37266659,6413997309.0
5120582,AAPL,2023-05-16 00:00:00,170.52,171.668,170.329,170.6,42110293,7254682597.0
5120583,AAPL,2023-05-17 00:00:00,170.24,171.455,168.95,171.22,57951604,9958969454.0
5120584,AAPL,2023-05-18 00:00:00,171.53,173.77,171.11,173.58,65496657,11416157907.0
5120585,AAPL,2023-05-19 00:00:00,174.92,174.92,173.47,173.69,55878060,9795682877.0
5120586,AAPL,2023-05-22 00:00:00,172.51,173.24,171.98,172.73,43570932,7589305027.0
5120587,AAPL,2023-05-23 00:00:00,171.66,171.909,169.805,170.09,50747263,8738210731.0
5120588,AAPL,2023-05-24 00:00:00,169.62,170.948,169.05,170.37,45143488,7741995517.0
5120589,AAPL,2023-05-25 00:00:00,170.94,172.425,170.22,171.52,56058258,9691514310.0
5120590,AAPL,2023-05-26 00:00:00,171.85,174.3,171.64,173.96,54834975,9604095940.0
5120591,AAPL,2023-05-30 00:00:00,175.49,177.52,175.1,175.83,55964401,9930822630.0
5120592,AAPL,2023-05-31 00:00:00,175.855,177.88,175.29,175.78,99625288,17727088117.0
5120593,AAPL,2023-06-01 00:00:00,176.23,178.65,175.461,178.62,68901809,12359578954.0
5120594,AAPL,2023-06-02 00:00:00,179.56,180.31,177.79,179.48,61996913,11199611366.0
5120595,AAPL,2023-06-05 00:00:00,181.16,183.481,176.565,178.11,121946497,22211968854.0
5120596,AAPL,2023-06-06 00:00:00,178.495,178.65,175.96,177.74,64848374,11589011771.0
5120597,AAPL,2023-06-07 00:00:00,176.97,179.74,175.85,176.35,61944615,11067140830.0
5120598,AAPL,2023-06-08 00:00:00,176.425,179.37,175.99,179.1,50214881,9016041733.0
5120599,AAPL,2023-06-09 00:00:00,180.03,180.76,179.16,179.49,48899973,8872381268.0
5120600,AAPL,2023-06-12 00:00:00,179.8,182.42,179.5,182.32,54754995,10011184106.0
5120601,AAPL,2023-06-13 00:00:00,181.33,182.68,180.97,181.84,54929129,10061381556.0
5120602,AAPL,2023-06-14 00:00:00,181.9,182.92,180.55,182.48,57462882,10556513537.0
5120603,AAPL,2023-06-15 00:00:00,182.49,185.05,182.31,184.54,65433166,12142252489.0
5120604,AAPL,2023-06-16 00:00:00,185.26,185.52,182.8,183.45,101256225,18779471342.0
5120605,AAPL,2023-06-20 00:00:00,182.94,184.63,182.94,183.54,49799092,9226322928.0
5120606,AAPL,2023-06-21 00:00:00,183.43,183.94,181.12,182.49,49515697,9114891985.0
5120607,AAPL,2023-06-22 00:00:00,182.27,185.575,182.2,185.53,51245327,9537605611.0
5120608,AAPL,2023-06-23 00:00:00,184.08,186.09,183.54,185.21,53116996,9906068020.0
5120609,AAPL,2023-06-26 00:00:00,185.36,186.58,183.76,183.8,48088661,8960321351.0
5120610,AAPL,2023-06-27 00:00:00,184.42,186.92,184.2,186.59,50730846,9512023935.0
5120611,AAPL,2023-06-28 00:00:00,186.46,188.43,186.13,187.78,51216801,9674422338.0
5120612,AAPL,2023-06-29 00:00:00,187.61,188.6,187.47,188.12,46347308,8785414257.0
5120613,AAPL,2023-06-30 00:00:00,190.16,193.01,189.79,192.5,85213216,16454830615.0
5120614,AAPL,2023-07-03 00:00:00,192.31,192.41,190.29,190.99,31458198,6060810912.0
5120615,AAPL,2023-07-05 00:00:00,190.095,191.51,189.15,189.86,46920261,8989014006.0
5120616,AAPL,2023-07-06 00:00:00,188.37,190.55,187.73,190.34,45156009,8616733982.0
5120617,AAPL,2023-07-07 00:00:00,189.94,191.2,188.77,189.21,46814998,8961403901.0
