Date,Symbol,Company,Type,Split Ratio
2024-12-16,GTGEF,G2 Energy Corp.,Reverse,1 for 10.00
2024-12-16,MSIF,"MSC Income Fund, Inc.",Reverse,1 for 2.00
2024-12-13,SMNUF,PT Sarana Menara Nusantara Tbk,Forward,1.00 for 1
2024-12-13,MNTS,Momentus Inc.,Reverse,1 for 14.00
2024-12-13,DBGI,"Digital Brands Group, Inc.",Reverse,1 for 50.00
2024-12-13,MLGO,"Microalgo, Inc.",Reverse,1 for 20.00
2024-12-13,BLUE,Bluebird bio Inc,Reverse,1 for 20.00
2024-12-13,ETR,Entergy Corp.,Forward,0.50 for 1
2024-12-11,SEHCF,Sweet Earth Holdings Corporation,Reverse,1 for 10.00
2024-12-11,WIT,Wipro Limited,Forward,0.50 for 1
2024-12-11,RFGPF,Retail Food Group Limited,Reverse,1 for 40.00
2024-12-10,FBYD,"Falcon's Beyond Global, Inc. Class A",Forward,0.83 for 1
2024-12-10,JL,J-Long Group Limited,Reverse,1 for 10.00
2024-12-10,BATXF,Battery X Metals Inc.,Reverse,1 for 3.30
2024-12-09,AEXAY,Atos Se Unsponsored Adr,Forward,1.00 for 1
2024-12-09,GSOL,Grayscale Solana Trust,Forward,0.20 for 1
2024-12-09,HUIZ,Huize Holding Ltd.,Reverse,1 for 5.00
2024-12-09,BZLFY,Bunzl,Forward,0.50 for 1
2024-12-06,NZAUF,Rua Gold Inc,Reverse,1 for 6.00
2024-12-06,ENSC,"Ensysce Biosciences, Inc.",Reverse,1 for 15.00
2024-12-05,AGRI,Agriforce Growing Systems Ltd.,Reverse,1 for 100.00
2024-12-04,MHTZF,Manhattan Corporation Ltd,Reverse,1 for 20.00
2024-12-04,DXFFY,Eason Technology Limited,Reverse,1 for 125.00
2024-12-04,ANET,Arista Networks,Forward,0.25 for 1
2024-12-04,PMD,Psychemedics Corporation,Forward,1.00 for 1
2024-12-04,RNAZ,"Transcode Therapeutics, Inc.",Reverse,1 for 33.00
2024-12-04,APVO,Aptevo,Reverse,1 for 37.00
2024-12-03,MYNZ,Mainz Biomed B.V.,Reverse,1 for 40.00
2024-12-03,LSMLF,Lodestar Minerals Limited,Reverse,1 for 20.00
2024-12-03,CBSH,Commerce Bancshares,Forward,0.95 for 1
2024-12-02,LARK,Landmark,Forward,0.95 for 1
2024-12-02,ELLXF,Elixinol Wellness Ltd,Reverse,1 for 8.00
2024-12-02,LGSXY,Light Sa,Forward,1.00 for 1
2024-12-02,FTCI,"Ftc Solar, Inc.",Reverse,1 for 10.00
2024-11-29,BWNAF,Verity Resources Limited,Reverse,1 for 20.00
2024-11-29,SLXN,Silexion Therapeutics Corp,Reverse,1 for 9.00
2024-11-29,IRS,Irsa Inversiones Y Representaciones,Forward,0.97 for 1
2024-11-29,DBVT,DBV Technologies S.A. - American Depositary Shares,Reverse,1 for 5.00
2024-11-29,PPLL,Peoples ,Forward,0.95 for 1
2024-11-28,BWNAF,Verity Resources Limited,Reverse,1 for 20.00
2024-11-27,BRCNF,Burcon Nutrascience Corporation,Forward,1.00 for 1
2024-11-27,UBXG,U-BX Technology Ltd.,Reverse,1 for 16.00
2024-11-27,NACB,National Capital Bank of Washington,Forward,0.25 for 1
2024-11-27,VIRA,Neuralbase Ai Ltd,Reverse,1 for 7500.00
2024-11-27,ELAB,ELEVAI Labs Inc.,Reverse,1 for 200.00
2024-11-26,NZRFF,Channel Infrastructure NZ Limited,Forward,0.99 for 1
2024-11-26,GMM,Global Mofy Metaverse Ltd.,Reverse,1 for 15.00
2024-11-26,CETX,Cemtrex,Reverse,1 for 35.00
2024-11-26,CTXR,Citius Pharma,Reverse,1 for 25.00
2024-11-26,LDDFF,Liberty Defense Holdings Ltd.,Reverse,1 for 10.00
